entire,campus,number,class_,seperate,major,class_name,prof,time,place
문과대학,서울,SOCI496,0,전공선택,사회학과,사회문제와복지국가,김원섭,3(3),화(6) 교양관 202호 목(6) 교양관 202호
문과대학,서울,SPAN417,0,전공선택,서어서문학과,보르헤스와포스트모더니즘,배지완,3(3),화(2) 서관 223호 목(2) 서관 223호
문과대학,서울,SPAN455,0,전공선택,서어서문학과,라틴아메리카조사방법론(영강),정혜윤,3(3),월(7-8) 서관 316A호 수(7-8) 서관 316A호
문과대학,서울,SPAN475,0,전공선택,서어서문학과,스페인어통사의미화용론,이재학,3(3),화(5) 서관 403호 목(5) 서관 403호
문과대학,서울,SPAN481,0,전공선택,서어서문학과,라틴아메리카국제관계,장석영,3(3),금(2-4) 서관 132호
1학년세미나,서울,GEKS005,DR,교양,교양교육원,1학년세미나Ⅰ,서승원,1(1),미정
1학년세미나,서울,GEKS005,DS,교양,교양교육원,1학년세미나Ⅰ,조영남,1(1),미정
1학년세미나,서울,GEKS005,DT,교양,교양교육원,1학년세미나Ⅰ,김수미,1(1),미정
1학년세미나,서울,GEKS005,DU,교양,교양교육원,1학년세미나Ⅰ,유재진,1(1),미정
1학년세미나,서울,GEKS005,DV,교양,교양교육원,1학년세미나Ⅰ,안영옥,1(1),미정
1학년세미나,서울,GEKS005,DW,교양,교양교육원,1학년세미나Ⅰ,배지완,1(1),미정
1학년세미나,서울,GEKS005,DX,교양,교양교육원,1학년세미나Ⅰ,송상기,1(1),미정
1학년세미나,서울,GEKS005,DY,교양,교양교육원,1학년세미나Ⅰ,이재학,1(1),미정
1학년세미나,서울,GEKS005,DZ,교양,교양교육원,1학년세미나Ⅰ,정혜윤,1(1),미정
1학년세미나,서울,GEKS005,E1,교양,교양교육원,1학년세미나Ⅰ,강범모,1(1),미정
선택교양,서울,IFLS109,1,교양,교양교육원,한국어초급Ⅱ (Recommended for Foreign Graduate students & Exchange/Visiting students),천민지,3(6),월(7-8) 교양관 413호 화(7-8) 교양관 413호
선택교양,서울,IFLS109,B1,교양,교양교육원,한국어초급Ⅱ (외국인 학부생반),최유진,3(6),월(1) 교양관 313호 화(1) 교양관 313호
선택교양,서울,IFLS110,1,교양,교양교육원,한국어중급Ⅰ (Recommended for Foreign Graduate students & Exchange/Visiting students),이소현,3(6),월(1) 교양관 414호 화(1) 교양관 414호
선택교양,서울,IFLS110,C1,교양,교양교육원,한국어중급Ⅰ (외국인 학부생반),김효은,3(6),월(7-8) 교양관 312호 화(7-8) 교양관 312호
선택교양,서울,IFLS111,1,교양,교양교육원,한국어중급Ⅱ (Recommended for Foreign Graduate students & Exchange/Visiting students),박지민,3(6),월(6) 교양관 203호 화(6) 교양관 203호
